straat,huisnummer,huisletter,plaats
's-Gravenzandelaan,177,B,'s-Gravenhage
Groenweegje,116,,Schiedam
Göteborg,13,,Schiedam
's-Gravenzandelaan,173,U,'s-Gravenhage
's-Gravenzandelaan,177,B,'s-Gravenhage
Groenweegje,116,,Schiedam
Göteborg,13,,Schiedam
's-Gravenzandelaan,173,U,'s-Gravenhage
's-Gravenzandelaan,177,B,'s-Gravenhage
Groenweegje,116,,Schiedam
Göteborg,13,,Schiedam
's-Gravenzandelaan,173,U,'s-Gravenhage
's-Gravenzandelaan,177,B,'s-Gravenhage
Groenweegje,116,,Schiedam
Göteborg,13,,Schiedam
's-Gravenzandelaan,173,U,'s-Gravenhage
's-Gravenzandelaan,177,B,'s-Gravenhage
Groenweegje,116,,Schiedam
Göteborg,13,,Schiedam
's-Gravenzandelaan,173,U,'s-Gravenhage
's-Gravenzandelaan,177,B,'s-Gravenhage
Groenweegje,116,,Schiedam
Göteborg,13,,Schiedam
's-Gravenzandelaan,173,U,'s-Gravenhage
's-Gravenzandelaan,177,B,'s-Gravenhage
Groenweegje,116,,Schiedam
Göteborg,13,,Schiedam
's-Gravenzandelaan,173,U,'s-Gravenhage
's-Gravenzandelaan,177,B,'s-Gravenhage
Groenweegje,116,,Schiedam
Göteborg,13,,Schiedam
's-Gravenzandelaan,173,U,'s-Gravenhage
